CALENDAR_DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY(mins),SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME(mins),DISTANCE(mi),SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE
1,Tuesday,WN,1294,N915WN,LAX,PHX,2024-10-02 05:40:00,,,2024-10-02 08:00:00,,,370,2024-10-02 08:00:00,,,0,1,A,,,,,,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,USA,33.43417,-112.00806
1,Tuesday,WN,3197,N494WN,LAS,PHX,2024-10-02 06:05:00,,,2024-10-02 07:00:00,,,255,2024-10-02 08:15:00,,,0,1,A,,,,,,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,USA,33.43417,-112.00806
1,Tuesday,AA,1764,,FLL,DCA,2024-10-02 06:50:00,,,2024-10-02 14:06:00,,,899,2024-10-02 09:16:00,,,0,1,A,,,,,,DCA,Ronald Reagan Washington National Airport,Arlington,VA,USA,38.85208,-77.03772
1,Tuesday,AA,2462,N873AA,DFW,LAX,2024-10-02 09:15:00,,,2024-10-02 21:02:00,,,1235,2024-10-02 10:47:00,,,0,1,A,,,,,,LAX,Los Angeles International Airport,Los Angeles,CA,USA,33.94254,-118.40807
1,Tuesday,AA,2157,,DCA,LGA,2024-10-02 14:00:00,,,2024-10-02 09:00:00,,,214,2024-10-02 15:30:00,,,0,1,C,,,,,,LGA,LaGuardia Airport (Marine Air Terminal),New York,NY,USA,40.77724,-73.87261
1,Tuesday,AA,2131,,BOS,LGA,2024-10-02 15:00:00,,,2024-10-02 09:00:00,,,184,2024-10-02 16:30:00,,,0,1,C,,,,,,LGA,LaGuardia Airport (Marine Air Terminal),New York,NY,USA,40.77724,-73.87261
1,Tuesday,AA,2157,,LGA,DCA,2024-10-02 16:00:00,,,2024-10-02 08:08:00,,,214,2024-10-02 17:28:00,,,0,1,C,,,,,,DCA,Ronald Reagan Washington National Airport,Arlington,VA,USA,38.85208,-77.03772
1,Tuesday,AA,2141,,LGA,BOS,2024-10-02 17:00:00,,,2024-10-02 08:05:00,,,184,2024-10-02 18:25:00,,,0,1,C,,,,,,BOS,Gen. Edward Lawrence Logan International Airport,Boston,MA,USA,42.36435,-71.00518
1,Tuesday,AA,2116,,DCA,BOS,2024-10-02 17:30:00,,,2024-10-02 09:03:00,,,399,2024-10-02 19:03:00,,,0,1,A,,,,,,BOS,Gen. Edward Lawrence Logan International Airport,Boston,MA,USA,42.36435,-71.00518
1,Tuesday,AA,2116,,BOS,DCA,2024-10-02 20:00:00,,,2024-10-02 09:08:00,,,399,2024-10-02 21:38:00,,,0,1,A,,,,,,DCA,Ronald Reagan Washington National Airport,Arlington,VA,USA,38.85208,-77.03772
2,Wednesday,WN,1614,N417WN,MDW,PHL,2024-10-02 05:20:00,,,2024-10-02 11:05:00,,,668,2024-10-02 08:15:00,,,0,1,B,,,,,,PHL,Philadelphia International Airport,Philadelphia,PA,USA,39.87195,-75.24114
2,Wednesday,WN,1524,N646SW,MHT,BWI,2024-10-02 05:35:00,,,2024-10-02 10:05:00,,,377,2024-10-02 07:20:00,,,0,1,B,,,,,,BWI,Baltimore-Washington International Airport,Baltimore,MD,USA,39.1754,-76.6682
2,Wednesday,WN,1429,N460WN,MCI,MDW,2024-10-02 05:40:00,,,2024-10-02 09:00:00,,,405,2024-10-02 07:10:00,,,0,1,B,,,,,,MDW,Chicago Midway International Airport,Chicago,IL,USA,41.78598,-87.75242
2,Wednesday,WN,3092,N280WN,MDW,DCA,2024-10-02 05:40:00,,,2024-10-02 10:05:00,,,601,2024-10-02 08:25:00,,,0,1,B,,,,,,DCA,Ronald Reagan Washington National Airport,Arlington,VA,USA,38.85208,-77.03772
2,Wednesday,WN,281,N569WN,BNA,MDW,2024-10-02 05:45:00,,,2024-10-02 09:05:00,,,395,2024-10-02 07:20:00,,,0,1,B,,,,,,MDW,Chicago Midway International Airport,Chicago,IL,USA,41.78598,-87.75242
2,Wednesday,WN,2010,N926WN,PHL,MDW,2024-10-02 05:45:00,,,2024-10-02 14:00:00,,,668,2024-10-02 07:05:00,,,0,1,B,,,,,,MDW,Chicago Midway International Airport,Chicago,IL,USA,41.78598,-87.75242
2,Wednesday,WN,3142,N489WN,DCA,MDW,2024-10-02 06:00:00,,,2024-10-02 12:05:00,,,601,2024-10-02 07:05:00,,,0,1,B,,,,,,MDW,Chicago Midway International Airport,Chicago,IL,USA,41.78598,-87.75242
2,Wednesday,WN,2876,N732SW,MDW,ATL,2024-10-02 06:00:00,,,2024-10-02 11:05:00,,,591,2024-10-02 08:55:00,,,0,1,B,,,,,,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.64044,-84.42694
2,Wednesday,WN,2946,N567WN,MDW,EWR,2024-10-02 06:00:00,,,2024-10-02 12:00:00,,,711,2024-10-02 09:00:00,,,0,1,B,,,,,,EWR,Newark Liberty International Airport,Newark,NJ,USA,40.6925,-74.16866
2,Wednesday,WN,2136,N291WN,EWR,MDW,2024-10-02 06:20:00,,,2024-10-02 14:05:00,,,711,2024-10-02 07:45:00,,,0,1,B,,,,,,MDW,Chicago Midway International Airport,Chicago,IL,USA,41.78598,-87.75242
